m_phi,Delta_phi_ini,sector
0.3837999999999985,1.356,A
0.3837999999999985,1.358,A
0.3837999999999985,1.36,A
0.3837999999999985,1.362,A
0.3837999999999985,1.364,A
0.3837999999999985,1.366,A
0.3837999999999985,1.368,A
0.3837999999999985,1.37,A
0.3837999999999985,1.372,A
0.3837999999999985,1.374,A
0.3837999999999985,1.3760000000000001,A
0.3837999999999985,1.3780000000000001,A
0.3837999999999985,1.3800000000000001,A
0.3837999999999985,1.3820000000000001,A
0.3837999999999985,1.3840000000000001,A
0.3837999999999985,1.3860000000000001,A
0.3837999999999985,1.3880000000000001,A
0.3837999999999985,1.3900000000000001,A
0.3837999999999985,1.3920000000000001,A
0.3837999999999985,1.3940000000000001,A
0.3837999999999985,1.3960000000000001,A
0.3837999999999985,1.3980000000000001,A
0.3837999999999985,1.4000000000000001,A
0.3837999999999985,1.4020000000000001,A
0.3837999999999985,1.4040000000000001,A
0.3837999999999985,1.4060000000000001,A
0.3837999999999985,1.4080000000000001,A
0.3837999999999985,1.4100000000000001,A
0.3837999999999985,1.4120000000000001,A
0.3837999999999985,1.4140000000000001,A
0.3837999999999985,1.4160000000000001,A
0.3837999999999985,1.4180000000000001,A
0.3837999999999985,1.4200000000000002,A
0.3837999999999985,1.4220000000000002,A
0.3837999999999985,1.4240000000000002,A
0.3837999999999985,1.4260000000000002,A
0.3837999999999985,1.4280000000000002,A
0.3837999999999985,1.4300000000000002,A
0.3837999999999985,1.4320000000000002,A
0.3837999999999985,1.4340000000000002,A
0.3837999999999985,1.4360000000000002,A
0.3837999999999985,1.4380000000000002,A
0.3837999999999985,1.4400000000000002,A
0.3837999999999985,1.4420000000000002,A
0.3837999999999985,1.4440000000000002,A
0.3837999999999985,1.4460000000000002,A
0.3837999999999985,1.4480000000000002,A
0.3837999999999985,1.4500000000000002,A
0.3837999999999985,1.4520000000000002,A
0.3837999999999985,1.4540000000000002,A
0.3837999999999985,1.4560000000000002,A
0.3837999999999985,1.4580000000000002,A
0.3837999999999985,1.4600000000000002,A
0.3837999999999985,1.4620000000000002,A
0.3837999999999985,1.4640000000000002,A
0.3837999999999985,1.4660000000000002,A
0.3837999999999985,1.4680000000000002,A
0.3837999999999985,1.4700000000000002,A
0.3837999999999985,1.4720000000000002,A
0.3837999999999985,1.4740000000000002,A
0.3837999999999985,1.4760000000000002,A
0.3837999999999985,1.4780000000000002,A
0.3837999999999985,1.4800000000000002,A
0.3837999999999985,1.4820000000000002,A
0.3837999999999985,1.4840000000000002,A
0.3837999999999985,1.4860000000000002,A
0.3837999999999985,1.4880000000000002,A
0.3837999999999985,1.4900000000000002,A
0.3837999999999985,1.4920000000000002,A
0.3837999999999985,1.4940000000000002,A
0.3837999999999985,1.4960000000000002,A
0.3837999999999985,1.4980000000000002,A
0.3837999999999985,1.5000000000000002,A
0.3837999999999985,1.5020000000000002,A
0.3837999999999985,1.5040000000000002,A
0.3837999999999985,1.5060000000000002,A
0.3837999999999985,1.5080000000000002,A
0.3837999999999985,1.5100000000000002,A
0.3837999999999985,1.5120000000000002,A
0.3837999999999985,1.5140000000000002,A
0.3837999999999985,1.5160000000000002,A
0.3837999999999985,1.5180000000000002,A
0.3837999999999985,1.5200000000000002,A
0.3837999999999985,1.5220000000000002,A
0.3837999999999985,1.5240000000000002,A
0.3837999999999985,1.5260000000000002,A
0.3837999999999985,1.5280000000000002,A
0.3837999999999985,1.5300000000000002,A
0.3837999999999985,1.5320000000000003,A
0.3837999999999985,1.5340000000000003,A
0.3837999999999985,1.5360000000000003,A
0.3837999999999985,1.5380000000000003,A
0.3837999999999985,1.5400000000000003,A
0.3837999999999985,1.5420000000000003,A
0.3837999999999985,1.5440000000000003,A
0.3837999999999985,1.5460000000000003,A
0.3837999999999985,1.5480000000000003,A
0.3837999999999985,1.5500000000000003,A
0.3837999999999985,1.5520000000000003,A
0.3837999999999985,1.5540000000000003,A
0.3837999999999985,1.5560000000000003,A
0.3837999999999985,1.5580000000000003,A
0.3837999999999985,1.5600000000000003,A
0.3837999999999985,1.5620000000000003,A
0.3837999999999985,1.5640000000000003,A
0.3837999999999985,1.5660000000000003,A
0.3837999999999985,1.5680000000000003,A
0.3837999999999985,1.5700000000000003,A
0.3837999999999985,1.5720000000000003,A
0.3837999999999985,1.5740000000000003,A
0.3837999999999985,1.5760000000000003,A
0.3837999999999985,1.5780000000000003,A
0.3837999999999985,1.5800000000000003,A
0.3837999999999985,1.5820000000000003,A
0.3837999999999985,1.5840000000000003,A
0.3837999999999985,1.5860000000000003,A
0.3837999999999985,1.5880000000000003,A
0.3837999999999985,1.5900000000000003,A
0.3837999999999985,1.5920000000000003,A
0.3837999999999985,1.5940000000000003,A
0.3837999999999985,1.5960000000000003,A
0.3837999999999985,1.5980000000000003,A
0.3837999999999985,1.6000000000000003,A
0.3837999999999985,1.6020000000000003,A
0.3837999999999985,1.6040000000000003,A
0.3837999999999985,1.6060000000000003,A
0.3837999999999985,1.6080000000000003,A
0.3837999999999985,1.6100000000000003,A
0.3837999999999985,1.6120000000000003,A
0.3837999999999985,1.6140000000000003,A
0.3837999999999985,1.6160000000000003,A
0.3837999999999985,1.6180000000000003,A
0.3837999999999985,1.6200000000000003,A
0.3837999999999985,1.6220000000000003,A
0.3837999999999985,1.6240000000000003,A
0.3837999999999985,1.6260000000000003,A
0.3837999999999985,1.6280000000000003,A
0.3837999999999985,1.6300000000000003,A
0.3837999999999985,1.6320000000000003,A
0.3837999999999985,1.6340000000000003,A
0.3837999999999985,1.6360000000000003,A
0.3837999999999985,1.6380000000000003,A
0.3837999999999985,1.6400000000000003,A
0.3837999999999985,1.6420000000000003,A
0.3837999999999985,1.6440000000000003,A
0.3837999999999985,1.6460000000000004,A
0.3837999999999985,1.6480000000000004,A
0.3837999999999985,1.6500000000000004,A
0.3837999999999985,1.6520000000000004,A
0.3837999999999985,1.6540000000000004,A
0.3837999999999985,1.6560000000000004,A
0.3837999999999985,1.6580000000000004,A
0.3837999999999985,1.6600000000000004,A
0.3837999999999985,1.6620000000000004,A
0.3837999999999985,1.6640000000000004,A
0.3837999999999985,1.6660000000000004,A
0.3837999999999985,1.6680000000000004,A
0.3837999999999985,1.6700000000000004,A
0.3837999999999985,1.6720000000000004,A
0.3837999999999985,1.6740000000000004,A
0.3837999999999985,1.6760000000000004,A
0.3837999999999985,1.6780000000000004,A
0.3837999999999985,1.6800000000000004,A
0.3837999999999985,1.6820000000000004,A
0.3837999999999985,1.6840000000000004,A
0.3837999999999985,1.6860000000000004,A
0.3837999999999985,1.6880000000000004,A
0.3837999999999985,1.6900000000000004,A
0.3837999999999985,1.6920000000000004,A
0.3837999999999985,1.6940000000000004,A
0.3837999999999985,1.6960000000000004,A
0.3837999999999985,1.6980000000000004,A
0.3837999999999985,1.7000000000000004,A
0.38399999999999845,1.25,B
0.38399999999999845,1.252,B
0.38399999999999845,1.254,B
0.38399999999999845,1.256,B
0.38399999999999845,1.258,B
0.38399999999999845,1.26,B
0.38399999999999845,1.262,B
0.38399999999999845,1.264,B
0.38399999999999845,1.266,B
0.38399999999999845,1.268,B
0.38399999999999845,1.27,B
0.38399999999999845,1.272,B
0.38399999999999845,1.274,B
0.38399999999999845,1.276,B
0.38399999999999845,1.278,B
0.38399999999999845,1.28,B
0.38399999999999845,1.282,B
0.38399999999999845,1.284,B
0.38399999999999845,1.286,B
0.38399999999999845,1.288,B
0.38399999999999845,1.29,B
0.38399999999999845,1.292,B
0.38399999999999845,1.294,B
0.38399999999999845,1.296,B
0.38399999999999845,1.298,B
0.38399999999999845,1.3,B
0.38399999999999845,1.302,B
0.38399999999999845,1.304,B
0.38399999999999845,1.306,B
0.38399999999999845,1.308,B
0.38399999999999845,1.31,B
0.38399999999999845,1.312,B
0.38399999999999845,1.314,B
0.38399999999999845,1.316,B
0.38399999999999845,1.318,B
0.38399999999999845,1.32,B
0.38399999999999845,1.322,B
0.38399999999999845,1.324,B
0.38399999999999845,1.326,B
0.38399999999999845,1.328,B
0.38399999999999845,1.33,B
0.38399999999999845,1.332,B
0.38399999999999845,1.334,B
0.38399999999999845,1.336,B
0.38399999999999845,1.338,B
0.38399999999999845,1.34,B
0.38399999999999845,1.342,B
0.38399999999999845,1.344,A
0.38399999999999845,1.346,A
0.38399999999999845,1.348,A
0.38399999999999845,1.35,A
0.38399999999999845,1.352,A
0.38399999999999845,1.354,A
0.38399999999999845,1.356,A
0.38399999999999845,1.358,A
0.38399999999999845,1.36,A
0.38399999999999845,1.362,A
0.38399999999999845,1.364,A
0.38399999999999845,1.366,A
0.38399999999999845,1.368,A
0.38399999999999845,1.37,A
0.38399999999999845,1.372,A
0.38399999999999845,1.374,A
0.38399999999999845,1.3760000000000001,A
0.38399999999999845,1.3780000000000001,A
0.38399999999999845,1.3800000000000001,A
0.38399999999999845,1.3820000000000001,A
0.38399999999999845,1.3840000000000001,A
0.38399999999999845,1.3860000000000001,A
0.38399999999999845,1.3880000000000001,A
0.38399999999999845,1.3900000000000001,A
0.38399999999999845,1.3920000000000001,A
0.38399999999999845,1.3940000000000001,A
0.38399999999999845,1.3960000000000001,A
0.38399999999999845,1.3980000000000001,A
0.38399999999999845,1.4000000000000001,A
0.38399999999999845,1.4020000000000001,A
0.38399999999999845,1.4040000000000001,A
0.38399999999999845,1.4060000000000001,A
0.38399999999999845,1.4080000000000001,A
0.38399999999999845,1.4100000000000001,A
0.38399999999999845,1.4120000000000001,A
0.38399999999999845,1.4140000000000001,A
0.38399999999999845,1.4160000000000001,A
0.38399999999999845,1.4180000000000001,A
0.38399999999999845,1.4200000000000002,A
0.38399999999999845,1.4220000000000002,A
0.38399999999999845,1.4240000000000002,A
0.38399999999999845,1.4260000000000002,A
0.38399999999999845,1.4280000000000002,A
0.38399999999999845,1.4300000000000002,A
0.38399999999999845,1.4320000000000002,A
0.38399999999999845,1.4340000000000002,A
0.38399999999999845,1.4360000000000002,A
0.38399999999999845,1.4380000000000002,A
0.38399999999999845,1.4400000000000002,A
0.38399999999999845,1.4420000000000002,A
0.38399999999999845,1.4440000000000002,A
0.38399999999999845,1.4460000000000002,A
0.38399999999999845,1.4480000000000002,A
0.38399999999999845,1.4500000000000002,A
0.38399999999999845,1.4520000000000002,A
0.38399999999999845,1.4540000000000002,A
0.38399999999999845,1.4560000000000002,A
0.38399999999999845,1.4580000000000002,A
0.38399999999999845,1.4600000000000002,A
0.38399999999999845,1.4620000000000002,A
0.38399999999999845,1.4640000000000002,A
0.38399999999999845,1.4660000000000002,A
0.38399999999999845,1.4680000000000002,A
0.38399999999999845,1.4700000000000002,A
0.38399999999999845,1.4720000000000002,A
0.38399999999999845,1.4740000000000002,A
0.38399999999999845,1.4760000000000002,A
0.38399999999999845,1.4780000000000002,A
0.38399999999999845,1.4800000000000002,A
0.38399999999999845,1.4820000000000002,A
0.38399999999999845,1.4840000000000002,A
0.38399999999999845,1.4860000000000002,A
0.38399999999999845,1.4880000000000002,A
0.38399999999999845,1.4900000000000002,A
0.38399999999999845,1.4920000000000002,A
0.38399999999999845,1.4940000000000002,A
0.38399999999999845,1.4960000000000002,A
0.38399999999999845,1.4980000000000002,A
0.38399999999999845,1.5000000000000002,A
0.38399999999999845,1.5020000000000002,A
0.38399999999999845,1.5040000000000002,A
0.38399999999999845,1.5060000000000002,A
0.38399999999999845,1.5080000000000002,A
0.38399999999999845,1.5100000000000002,A
0.38399999999999845,1.5120000000000002,A
0.38399999999999845,1.5140000000000002,A
0.38399999999999845,1.5160000000000002,A
0.38399999999999845,1.5180000000000002,A
0.38399999999999845,1.5200000000000002,A
0.38399999999999845,1.5220000000000002,A
0.38399999999999845,1.5240000000000002,A
0.38399999999999845,1.5260000000000002,A
0.38399999999999845,1.5280000000000002,A
0.38399999999999845,1.5300000000000002,A
0.38399999999999845,1.5320000000000003,A
0.38399999999999845,1.5340000000000003,A
0.38399999999999845,1.5360000000000003,A
0.38399999999999845,1.5380000000000003,A
0.38399999999999845,1.5400000000000003,A
0.38399999999999845,1.5420000000000003,A
0.38399999999999845,1.5440000000000003,A
0.38399999999999845,1.5460000000000003,A
0.38399999999999845,1.5480000000000003,A
0.38399999999999845,1.5500000000000003,A
0.38399999999999845,1.5520000000000003,A
0.38399999999999845,1.5540000000000003,A
0.38399999999999845,1.5560000000000003,A
0.38399999999999845,1.5580000000000003,A
0.38399999999999845,1.5600000000000003,A
0.38399999999999845,1.5620000000000003,A
0.38399999999999845,1.5640000000000003,A
0.38399999999999845,1.5660000000000003,A
0.38399999999999845,1.5680000000000003,A
0.38399999999999845,1.5700000000000003,A
0.38399999999999845,1.5720000000000003,A
0.38399999999999845,1.5740000000000003,A
0.38399999999999845,1.5760000000000003,A
0.38399999999999845,1.5780000000000003,A
0.38399999999999845,1.5800000000000003,A
0.38399999999999845,1.5820000000000003,A
0.38399999999999845,1.5840000000000003,A
0.38399999999999845,1.5860000000000003,A
0.38399999999999845,1.5880000000000003,A
0.38399999999999845,1.5900000000000003,A
0.38399999999999845,1.5920000000000003,A
0.38399999999999845,1.5940000000000003,A
0.38399999999999845,1.5960000000000003,A
0.38399999999999845,1.5980000000000003,A
0.38399999999999845,1.6000000000000003,A
0.38399999999999845,1.6020000000000003,A
0.38399999999999845,1.6040000000000003,A
0.38399999999999845,1.6060000000000003,A
0.38399999999999845,1.6080000000000003,A
0.38399999999999845,1.6100000000000003,A
0.38399999999999845,1.6120000000000003,A
0.38399999999999845,1.6140000000000003,A
0.38399999999999845,1.6160000000000003,A
0.38399999999999845,1.6180000000000003,A
0.38399999999999845,1.6200000000000003,A
0.38399999999999845,1.6220000000000003,A
0.38399999999999845,1.6240000000000003,A
0.38399999999999845,1.6260000000000003,A
0.38399999999999845,1.6280000000000003,A
0.38399999999999845,1.6300000000000003,A
0.38399999999999845,1.6320000000000003,A
0.38399999999999845,1.6340000000000003,A
0.38399999999999845,1.6360000000000003,A
0.38399999999999845,1.6380000000000003,A
0.38399999999999845,1.6400000000000003,A
0.38399999999999845,1.6420000000000003,A
0.38399999999999845,1.6440000000000003,A
0.38399999999999845,1.6460000000000004,A
0.38399999999999845,1.6480000000000004,A
0.38399999999999845,1.6500000000000004,A
0.38399999999999845,1.6520000000000004,A
0.38399999999999845,1.6540000000000004,A
0.38399999999999845,1.6560000000000004,A
0.38399999999999845,1.6580000000000004,A
0.38399999999999845,1.6600000000000004,A
0.38399999999999845,1.6620000000000004,A
0.38399999999999845,1.6640000000000004,A
0.38399999999999845,1.6660000000000004,A
0.38399999999999845,1.6680000000000004,A
0.38399999999999845,1.6700000000000004,A
0.38399999999999845,1.6720000000000004,A
0.38399999999999845,1.6740000000000004,A
0.38399999999999845,1.6760000000000004,A
0.38399999999999845,1.6780000000000004,A
0.38399999999999845,1.6800000000000004,A
0.38399999999999845,1.6820000000000004,A
0.38399999999999845,1.6840000000000004,A
0.38399999999999845,1.6860000000000004,A
0.38399999999999845,1.6880000000000004,A
0.38399999999999845,1.6900000000000004,A
0.38399999999999845,1.6920000000000004,A
0.38399999999999845,1.6940000000000004,A
0.38399999999999845,1.6960000000000004,A
0.38399999999999845,1.6980000000000004,A
0.38399999999999845,1.7000000000000004,A
0.38419999999999843,1.25,B
0.38419999999999843,1.252,B
0.38419999999999843,1.254,B
0.38419999999999843,1.256,B
0.38419999999999843,1.258,B
0.38419999999999843,1.26,B
0.38419999999999843,1.262,B
0.38419999999999843,1.264,B
0.38419999999999843,1.266,B
0.38419999999999843,1.268,B
0.38419999999999843,1.27,B
0.38419999999999843,1.272,B
0.38419999999999843,1.274,B
0.38419999999999843,1.276,B
0.38419999999999843,1.278,B
0.38419999999999843,1.28,B
0.38419999999999843,1.282,B
0.38419999999999843,1.284,B
0.38419999999999843,1.286,B
0.38419999999999843,1.288,B
0.38419999999999843,1.29,B
0.38419999999999843,1.292,B
0.38419999999999843,1.294,B
0.38419999999999843,1.296,B
0.38419999999999843,1.298,B
0.38419999999999843,1.3,B
0.38419999999999843,1.302,B
0.38419999999999843,1.304,B
0.38419999999999843,1.306,B
0.38419999999999843,1.308,B
0.38419999999999843,1.31,B
0.38419999999999843,1.312,B
0.38419999999999843,1.314,B
0.38419999999999843,1.316,B
0.38419999999999843,1.318,B
0.38419999999999843,1.32,B
0.38419999999999843,1.322,B
0.38419999999999843,1.324,B
0.38419999999999843,1.326,B
0.38419999999999843,1.328,B
0.38419999999999843,1.33,B
0.38419999999999843,1.332,B
0.38419999999999843,1.334,B
0.38419999999999843,1.336,B
0.38419999999999843,1.338,B
0.38419999999999843,1.34,B
0.38419999999999843,1.342,A
0.38419999999999843,1.344,A
0.38419999999999843,1.346,A
0.38419999999999843,1.348,A
0.38419999999999843,1.35,A
0.38419999999999843,1.352,A
0.38419999999999843,1.354,A
0.38419999999999843,1.356,A
0.38419999999999843,1.358,A
0.38419999999999843,1.36,A
0.38419999999999843,1.362,A
0.38419999999999843,1.364,A
0.38419999999999843,1.366,A
0.38419999999999843,1.368,A
0.38419999999999843,1.37,A
0.38419999999999843,1.372,A
0.38419999999999843,1.374,A
0.38419999999999843,1.3760000000000001,A
0.38419999999999843,1.3780000000000001,A
0.38419999999999843,1.3800000000000001,A
0.38419999999999843,1.3820000000000001,A
0.38419999999999843,1.3840000000000001,A
0.38419999999999843,1.3860000000000001,A
0.38419999999999843,1.3880000000000001,A
0.38419999999999843,1.3900000000000001,A
0.38419999999999843,1.3920000000000001,A
0.38419999999999843,1.3940000000000001,A
0.38419999999999843,1.3960000000000001,A
0.38419999999999843,1.3980000000000001,A
0.38419999999999843,1.4000000000000001,A
0.38419999999999843,1.4020000000000001,A
0.38419999999999843,1.4040000000000001,A
0.38419999999999843,1.4060000000000001,A
0.38419999999999843,1.4080000000000001,A
0.38419999999999843,1.4100000000000001,A
0.38419999999999843,1.4120000000000001,A
0.38419999999999843,1.4140000000000001,A
0.38419999999999843,1.4160000000000001,A
0.38419999999999843,1.4180000000000001,A
0.38419999999999843,1.4200000000000002,A
0.38419999999999843,1.4220000000000002,A
0.38419999999999843,1.4240000000000002,A
0.38419999999999843,1.4260000000000002,A
0.38419999999999843,1.4280000000000002,A
0.38419999999999843,1.4300000000000002,A
0.38419999999999843,1.4320000000000002,A
0.38419999999999843,1.4340000000000002,A
0.38419999999999843,1.4360000000000002,A
0.38419999999999843,1.4380000000000002,A
0.38419999999999843,1.4400000000000002,A
0.38419999999999843,1.4420000000000002,A
0.38419999999999843,1.4440000000000002,A
0.38419999999999843,1.4460000000000002,A
0.38419999999999843,1.4480000000000002,A
0.38419999999999843,1.4500000000000002,A
0.38419999999999843,1.4520000000000002,A
0.38419999999999843,1.4540000000000002,A
0.38419999999999843,1.4560000000000002,A
0.38419999999999843,1.4580000000000002,A
0.38419999999999843,1.4600000000000002,A
0.38419999999999843,1.4620000000000002,A
0.38419999999999843,1.4640000000000002,A
0.38419999999999843,1.4660000000000002,A
0.38419999999999843,1.4680000000000002,A
0.38419999999999843,1.4700000000000002,A
0.38419999999999843,1.4720000000000002,A
0.38419999999999843,1.4740000000000002,A
0.38419999999999843,1.4760000000000002,A
0.38419999999999843,1.4780000000000002,A
0.38419999999999843,1.4800000000000002,A
0.38419999999999843,1.4820000000000002,A
0.38419999999999843,1.4840000000000002,A
0.38419999999999843,1.4860000000000002,A
0.38419999999999843,1.4880000000000002,A
0.38419999999999843,1.4900000000000002,A
0.38419999999999843,1.4920000000000002,A
0.38419999999999843,1.4940000000000002,A
0.38419999999999843,1.4960000000000002,A
0.38419999999999843,1.4980000000000002,A
0.38419999999999843,1.5000000000000002,A
0.38419999999999843,1.5020000000000002,A
0.38419999999999843,1.5040000000000002,A
0.38419999999999843,1.5060000000000002,A
0.38419999999999843,1.5080000000000002,A
0.38419999999999843,1.5100000000000002,A
0.38419999999999843,1.5120000000000002,A
0.38419999999999843,1.5140000000000002,A
0.38419999999999843,1.5160000000000002,A
0.38419999999999843,1.5180000000000002,A
0.38419999999999843,1.5200000000000002,A
0.38419999999999843,1.5220000000000002,A
0.38419999999999843,1.5240000000000002,A
0.38419999999999843,1.5260000000000002,A
0.38419999999999843,1.5280000000000002,A
0.38419999999999843,1.5300000000000002,A
0.38419999999999843,1.5320000000000003,A
0.38419999999999843,1.5340000000000003,A
0.38419999999999843,1.5360000000000003,A
0.38419999999999843,1.5380000000000003,A
0.38419999999999843,1.5400000000000003,A
0.38419999999999843,1.5420000000000003,A
0.38419999999999843,1.5440000000000003,A
0.38419999999999843,1.5460000000000003,A
0.38419999999999843,1.5480000000000003,A
0.38419999999999843,1.5500000000000003,A
0.38419999999999843,1.5520000000000003,A
0.38419999999999843,1.5540000000000003,A
0.38419999999999843,1.5560000000000003,A
0.38419999999999843,1.5580000000000003,A
0.38419999999999843,1.5600000000000003,A
0.38419999999999843,1.5620000000000003,A
0.38419999999999843,1.5640000000000003,A
0.38419999999999843,1.5660000000000003,A
0.38419999999999843,1.5680000000000003,A
0.38419999999999843,1.5700000000000003,A
0.38419999999999843,1.5720000000000003,A
0.38419999999999843,1.5740000000000003,A
0.38419999999999843,1.5760000000000003,A
0.38419999999999843,1.5780000000000003,A
0.38419999999999843,1.5800000000000003,A
0.38419999999999843,1.5820000000000003,A
0.38419999999999843,1.5840000000000003,A
0.38419999999999843,1.5860000000000003,A
0.38419999999999843,1.5880000000000003,A
0.38419999999999843,1.5900000000000003,A
0.38419999999999843,1.5920000000000003,A
0.38419999999999843,1.5940000000000003,A
0.38419999999999843,1.5960000000000003,A
0.38419999999999843,1.5980000000000003,A
0.38419999999999843,1.6000000000000003,A
0.38419999999999843,1.6020000000000003,A
0.38419999999999843,1.6040000000000003,A
0.38419999999999843,1.6060000000000003,A
0.38419999999999843,1.6080000000000003,A
0.38419999999999843,1.6100000000000003,A
0.38419999999999843,1.6120000000000003,A
0.38419999999999843,1.6140000000000003,A
0.38419999999999843,1.6160000000000003,A
0.38419999999999843,1.6180000000000003,A
0.38419999999999843,1.6200000000000003,A
0.38419999999999843,1.6220000000000003,A
0.38419999999999843,1.6240000000000003,A
0.38419999999999843,1.6260000000000003,A
0.38419999999999843,1.6280000000000003,A
0.38419999999999843,1.6300000000000003,A
0.38419999999999843,1.6320000000000003,A
0.38419999999999843,1.6340000000000003,A
0.38419999999999843,1.6360000000000003,A
0.38419999999999843,1.6380000000000003,A
0.38419999999999843,1.6400000000000003,A
0.38419999999999843,1.6420000000000003,A
0.38419999999999843,1.6440000000000003,A
0.38419999999999843,1.6460000000000004,A
0.38419999999999843,1.6480000000000004,A
0.38419999999999843,1.6500000000000004,A
0.38419999999999843,1.6520000000000004,A
0.38419999999999843,1.6540000000000004,A
0.38419999999999843,1.6560000000000004,A
0.38419999999999843,1.6580000000000004,A
0.38419999999999843,1.6600000000000004,A
0.38419999999999843,1.6620000000000004,A
0.38419999999999843,1.6640000000000004,A
0.38419999999999843,1.6660000000000004,A
0.38419999999999843,1.6680000000000004,A
0.38419999999999843,1.6700000000000004,A
0.38419999999999843,1.6720000000000004,A
0.38419999999999843,1.6740000000000004,A
0.38419999999999843,1.6760000000000004,A
0.38419999999999843,1.6780000000000004,A
0.38419999999999843,1.6800000000000004,A
0.38419999999999843,1.6820000000000004,A
0.38419999999999843,1.6840000000000004,A
0.38419999999999843,1.6860000000000004,A
0.38419999999999843,1.6880000000000004,A
0.38419999999999843,1.6900000000000004,A
0.38419999999999843,1.6920000000000004,A
0.38419999999999843,1.6940000000000004,A
0.38419999999999843,1.6960000000000004,A
0.38419999999999843,1.6980000000000004,A
0.38419999999999843,1.7000000000000004,A
0.3843999999999984,1.25,B
0.3843999999999984,1.252,B
0.3843999999999984,1.254,B
0.3843999999999984,1.256,B
0.3843999999999984,1.258,B
0.3843999999999984,1.26,B
0.3843999999999984,1.262,B
0.3843999999999984,1.264,B
0.3843999999999984,1.266,B
0.3843999999999984,1.268,B
0.3843999999999984,1.27,B
0.3843999999999984,1.272,B
0.3843999999999984,1.274,B
0.3843999999999984,1.276,B
0.3843999999999984,1.278,B
0.3843999999999984,1.28,B
0.3843999999999984,1.282,B
0.3843999999999984,1.284,B
0.3843999999999984,1.286,B
0.3843999999999984,1.288,B
0.3843999999999984,1.29,B
0.3843999999999984,1.292,B
0.3843999999999984,1.294,B
0.3843999999999984,1.296,B
0.3843999999999984,1.298,B
0.3843999999999984,1.3,B
0.3843999999999984,1.302,B
0.3843999999999984,1.304,B
0.3843999999999984,1.306,B
0.3843999999999984,1.308,B
0.3843999999999984,1.31,B
0.3843999999999984,1.312,B
0.3843999999999984,1.314,B
0.3843999999999984,1.316,B
0.3843999999999984,1.318,B
0.3843999999999984,1.32,B
0.3843999999999984,1.322,B
0.3843999999999984,1.324,B
0.3843999999999984,1.326,B
0.3843999999999984,1.328,B
0.3843999999999984,1.33,B
0.3843999999999984,1.332,B
0.3843999999999984,1.334,B
0.3843999999999984,1.336,B
0.3843999999999984,1.338,A
0.3843999999999984,1.34,A
0.3843999999999984,1.342,A
0.3843999999999984,1.344,A
0.3843999999999984,1.346,A
0.3843999999999984,1.348,A
0.3843999999999984,1.35,A
0.3843999999999984,1.352,A
0.3843999999999984,1.354,A
0.3843999999999984,1.356,A
0.3843999999999984,1.358,A
0.3843999999999984,1.36,A
0.3843999999999984,1.362,A
0.3843999999999984,1.364,A
0.3843999999999984,1.366,A
0.3843999999999984,1.368,A
0.3843999999999984,1.37,A
0.3843999999999984,1.372,A
0.3843999999999984,1.374,A
0.3843999999999984,1.3760000000000001,A
0.3843999999999984,1.3780000000000001,A
0.3843999999999984,1.3800000000000001,A
0.3843999999999984,1.3820000000000001,A
0.3843999999999984,1.3840000000000001,A
0.3843999999999984,1.3860000000000001,A
0.3843999999999984,1.3880000000000001,A
0.3843999999999984,1.3900000000000001,A
0.3843999999999984,1.3920000000000001,A
0.3843999999999984,1.3940000000000001,A
0.3843999999999984,1.3960000000000001,A
0.3843999999999984,1.3980000000000001,A
0.3843999999999984,1.4000000000000001,A
0.3843999999999984,1.4020000000000001,A
0.3843999999999984,1.4040000000000001,A
0.3843999999999984,1.4060000000000001,A
0.3843999999999984,1.4080000000000001,A
0.3843999999999984,1.4100000000000001,A
0.3843999999999984,1.4120000000000001,A
0.3843999999999984,1.4140000000000001,A
0.3843999999999984,1.4160000000000001,A
0.3843999999999984,1.4180000000000001,A
0.3843999999999984,1.4200000000000002,A
0.3843999999999984,1.4220000000000002,A
0.3843999999999984,1.4240000000000002,A
0.3843999999999984,1.4260000000000002,A
0.3843999999999984,1.4280000000000002,A
0.3843999999999984,1.4300000000000002,A
0.3843999999999984,1.4320000000000002,A
0.3843999999999984,1.4340000000000002,A
0.3843999999999984,1.4360000000000002,A
0.3843999999999984,1.4380000000000002,A
0.3843999999999984,1.4400000000000002,A
0.3843999999999984,1.4420000000000002,A
0.3843999999999984,1.4440000000000002,A
0.3843999999999984,1.4460000000000002,A
0.3843999999999984,1.4480000000000002,A
0.3843999999999984,1.4500000000000002,A
0.3843999999999984,1.4520000000000002,A
0.3843999999999984,1.4540000000000002,A
0.3843999999999984,1.4560000000000002,A
0.3843999999999984,1.4580000000000002,A
0.3843999999999984,1.4600000000000002,A
0.3843999999999984,1.4620000000000002,A
0.3843999999999984,1.4640000000000002,A
0.3843999999999984,1.4660000000000002,A
0.3843999999999984,1.4680000000000002,A
0.3843999999999984,1.4700000000000002,A
0.3843999999999984,1.4720000000000002,A
0.3843999999999984,1.4740000000000002,A
0.3843999999999984,1.4760000000000002,A
0.3843999999999984,1.4780000000000002,A
0.3843999999999984,1.4800000000000002,A
0.3843999999999984,1.4820000000000002,A
0.3843999999999984,1.4840000000000002,A
0.3843999999999984,1.4860000000000002,A
0.3843999999999984,1.4880000000000002,A
0.3843999999999984,1.4900000000000002,A
0.3843999999999984,1.4920000000000002,A
0.3843999999999984,1.4940000000000002,A
